ano,id_municipio_nascimento,total_observations,non_null_semana_gestacao,non_null_pre_natal_agr,gestacao_under_38,pre_natal_above_0
2016,4323002,885,880,885,135,809
2016,4313706,586,584,586,96,586
2016,4320909,364,364,364,88,360
2016,4317103,1180,1180,1180,277,1162
2016,4310603,501,495,501,108,497
2016,4315156,68,68,68,8,68
2016,4313904,583,583,583,101,583
2016,4305702,50,50,50,8,49
2016,3504107,2386,2373,2386,463,2374
2015,3301900,1512,1503,1512,179,1502
2015,2412005,801,610,801,93,771
2015,1100056,194,176,194,15,191
2015,2402402,26,25,26,4,26
2015,3305307,92,84,92,23,92
2015,1101401,115,111,115,11,113
2015,3304110,161,159,161,41,159
2021,2301109,1375,1375,1375,218,1370
2021,2302503,2016,2012,2015,539,1995
2021,2307601,1383,1364,1383,229,1379
2021,2305308,152,141,152,27,125
2021,2305902,257,233,257,33,241
2021,2311900,33,31,33,5,31
2021,2304103,2464,2454,2457,137,2455
2012,1303601,331,321,331,85,315
2012,1600709,176,103,176,30,127
2012,1300102,227,218,227,53,224
2012,2709400,290,262,290,53,283
2012,2703106,54,46,54,17,51
2008,2110203,658,0,658,0,637
2008,2101608,2100,0,2094,0,2043
2008,5200258,271,0,270,0,246
2008,5217708,266,0,266,0,266
2008,2102325,1545,0,1543,0,1496
2008,2105351,220,0,220,0,217
2008,5212501,1323,0,1323,0,1260
2008,5210208,479,0,479,0,477
2008,5201306,282,0,282,0,280
2008,2105807,103,0,103,0,99
2008,2102507,115,0,114,0,100
2008,5222054,98,0,98,0,98
2008,5219506,37,0,37,0,37
2008,5219100,67,0,67,0,67
2008,2100873,52,0,52,0,52
2008,2111763,45,0,45,0,45
2008,5216403,112,0,112,0,112
