"","id_municipio","ano","open"
"868",2901304,2020,1
"869",2901353,2008,1
"870",2901353,2012,0
"871",2901353,2016,1
"872",2901353,2020,0
"873",2901403,2008,0
"874",2901403,2012,0
"875",2901403,2016,1
"876",2901403,2020,1
"877",2901502,2008,1
"878",2901502,2012,0
"879",2901502,2016,1
"880",2901502,2020,1
"881",2901601,2008,0
"882",2901601,2012,1
"883",2901601,2016,1
"884",2901601,2020,0
"885",2901700,2008,0
"886",2901700,2012,1
"887",2901700,2016,0
"888",2901700,2020,0
"889",2901809,2008,0
"890",2901809,2012,1
"891",2901809,2016,1
"892",2901809,2020,0
"893",2901908,2008,0
"894",2901908,2012,1
"895",2901908,2016,1
"896",2901908,2020,1
"897",2901957,2008,0
"898",2901957,2012,0
"899",2901957,2016,1
"900",2901957,2020,1
"901",2902005,2008,0
"902",2902005,2012,1
"903",2902005,2016,0
"904",2902005,2020,1
"905",2902054,2008,1
"906",2902054,2012,0
"907",2902054,2016,0
"908",2902054,2020,1
"909",2902104,2008,0
"910",2902104,2012,0
"911",2902104,2016,0
"912",2902104,2020,1
"913",2902203,2008,1
"914",2902203,2012,0
"915",2902203,2016,1
"916",2902203,2020,0
"917",2902252,2008,0
"918",2902252,2012,1
"919",2902252,2016,0
"920",2902252,2020,0
"921",2902302,2008,0
"922",2902302,2012,1
"923",2902302,2016,1
"924",2902302,2020,0
"925",2902401,2008,1
"926",2902401,2012,1
"927",2902401,2016,0
"928",2902401,2020,1
"929",2902500,2008,0
"930",2902500,2012,1
"931",2902500,2016,0
"932",2902500,2020,0
"933",2902609,2008,0
"934",2902609,2012,1
"935",2902609,2016,0
"936",2902609,2020,0
"937",2902658,2008,0
"938",2902658,2012,1
"939",2902658,2016,1
"940",2902658,2020,0
"941",2902708,2008,1
"942",2902708,2012,0
"943",2902708,2016,1
"944",2902708,2020,0
"945",2902807,2008,0
"946",2902807,2012,1
"947",2902807,2016,1
"948",2902807,2020,0
"949",2902906,2008,0
"950",2902906,2012,0
"951",2902906,2016,1
"952",2902906,2020,0
"953",2903003,2008,0
"954",2903003,2012,1
"955",2903003,2016,0
"956",2903003,2020,1
"957",2903102,2008,0
"958",2903102,2012,1
"959",2903102,2016,0
"960",2903102,2020,0
"961",2903201,2008,1
"962",2903201,2012,0
"963",2903201,2016,0
"964",2903201,2020,0
"965",2903235,2008,0
"966",2903235,2012,1
"967",2903235,2016,1
"968",2903235,2020,0
"969",2903276,2008,1
"970",2903276,2012,0
"971",2903276,2016,1
"972",2903276,2020,0
"973",2903300,2008,1
"974",2903300,2012,0
"975",2903300,2016,0
"976",2903300,2020,0
"977",2903409,2008,0
"978",2903409,2012,1
"979",2903409,2016,0
"980",2903409,2020,1
"981",2903508,2008,0
"982",2903508,2012,0
"983",2903508,2016,1
"984",2903508,2020,0
"985",2903607,2008,1
"986",2903607,2012,0
"987",2903607,2016,1
"988",2903607,2020,0
"989",2903706,2008,1
"990",2903706,2012,1
"991",2903706,2016,0
"992",2903706,2020,0
"993",2903805,2008,0
"994",2903805,2012,1
"995",2903805,2016,0
"996",2903805,2020,0
"997",2903904,2008,0
"998",2903904,2012,1
"999",2903904,2016,0
"1000",2903904,2020,1
"1001",2903953,2008,0
"1002",2903953,2012,1
"1003",2903953,2016,1
"1004",2903953,2020,0
"1005",2904001,2008,1
"1006",2904001,2012,0
"1007",2904001,2016,1
"1008",2904001,2020,0
"1009",2904050,2008,1
"1010",2904050,2012,1
"1011",2904050,2016,1
"1012",2904050,2020,0
"1013",2904100,2008,1
"1014",2904100,2012,0
"1015",2904100,2016,0
"1016",2904100,2020,0
"1017",2904209,2008,1
"1018",2904209,2012,0
"1019",2904209,2016,1
"1020",2904209,2020,1
"1021",2904308,2008,0
"1022",2904308,2012,0
"1023",2904308,2016,1
"1024",2904308,2020,0
"1025",2904407,2008,1
"1026",2904407,2012,0
